metric_id,category,cz_label,description,priority,type,source_kind,firebase_path,log_pattern,formula,unit,data_type,refresh_rate,ui_component,green_threshold,yellow_threshold,red_threshold,tooltip_cz,caveats
BOT_STATUS,Runtime,Status robota,Základní stav - běží/paused/chyba,P0,RAW,runtime,bot_config/health/status,[BOT_STATE],Live signal,enum,string,realtime,Badge,Status==running,heartbeat>30s,heartbeat>120s,Aktuální stav běhu robota. Pokud 'Chyba' zkontrolujte logy.,Může selhat bez aktualizace
TRADING_MODE,Runtime,Režim obchodování,live_real/paper_train/paper_live,P0,RAW,config,bot_config/trading_mode,TRADING_MODE=,Environment variable,enum,string,startup,Badge,paper_train|paper_live,paper_live,live_real,Aktivní režim. live_real = skutečné obchody!,Změna vyžaduje restart
GIT_HEAD,Runtime,Verze kódu (Git),Aktuální commit SHA,P2,RAW,git,bot_config/git_head,Git HEAD:,git rev-parse HEAD,sha1,string,startup,Text,matches_expected,,unknown,SHA posledního commitu. Pomocí pro debug.,Vyžaduje .git přístup
UPTIME_SECONDS,Runtime,Doba běhu (s),Kolik sekund bot běží bez restartování,P1,DERIVED,runtime,bot_metrics/uptime_s,Uptime:,now() - bot_start_ts,seconds,integer,30s,Text,>3600,300-3600,<300,Jak dlouho bot bez přerušení běží. Kratší časy = problém?,Resetuje se při restartu
LAST_HEARTBEAT_TS,Runtime,Poslední signal (čas),Timestamp poslední aktivity bota,P0,RAW,eventbus,bot_health/last_heartbeat_ts,[HEARTBEAT],max(last_signal_ts),unix_timestamp,number,realtime,RelativeTime,<10s,10-60s,>60s,Čas poslední aktivity. >60s = problém!,Může chybět log záznam
MARKET_FEED_STATUS,Market,Status tržních dat,WebSocket/Fallback/Offline,P0,RAW,stream,market_health/feed_status,[MARKET_OFFLINE],WS.is_connected() OR REST.active,enum,string,realtime,Badge,WS_connected,REST_fallback,offline,Zdroj tržních cen. WS = živé REST = náhrada,Fallback může být zaostávající
LAST_PRICE_TICK_TS,Market,Poslední cena (čas),Timestamp poslední aktualizace ceny,P1,RAW,stream,market_health/last_tick_ts,Price:,max(price_updates_ts),unix_timestamp_ms,number,1s,RelativeTime,<2s,2-10s,>10s,Čas poslední ceny. >10s = tržní data zaostávají!,Liší se per-symbol
SYMBOLS_ACTIVE_COUNT,Market,Aktivní symboly,Počet symbolů se svěžími cenami,P1,DERIVED,stream,market_health/active_symbols,Active symbols:,count(last_tick<30s),count,integer,30s,Text,"=expected_count",50-100%,<50%,Kolik symbolů má aktuální ceny. Nižší = méně obchodů.,Asymetrické (BTC živě ETH ne)
FIRESTORE_READ_COUNT_DAY,Quota,Firebase čtení (den),Počet Firestore reads za posledních 24h,P1,RAW,firebase,quota_metrics/reads_day,[QUOTA],sum(reads in 24h),count,integer,realtime,Counter,<25000,25000-40000,>40000,Firestore čtení za 24h. Limit 50k. Blížíme se?,Resetuje se v 09:00 GMT+2
READ_QUOTA_PCT,Quota,Zbytek čtení (%),Procento zbývající denní Firestore kvóty,P1,DERIVED,firebase,quota_metrics/read_quota_pct,N/A,(50000-read_count)/50000*100,percent,float,realtime,ProgressBar,>50%,20-50%,<20%,Zbývající Firestore kvóta. <20% = restrikce!,Nepočítá write kvótu
QUOTA_STATE,Quota,Stav kvóty,NORMAL/WARNING/EXHAUSTED,P0,DERIVED,firebase,quota_metrics/state,[QUOTA_STATE],IF read<20 THEN WARNING,enum,string,realtime,Badge,NORMAL,WARNING,EXHAUSTED,Stav Firestore kvóty. EXHAUSTED = bot se zpomaluje!,Falešné varování z cache reads
