rejection_category,estimated_count,impact_on_learning,note,data_source
REJECT_ECON_BAD,800+,BLOCKING,"Economic health status = BAD blocks all normal routing",snapshot_context
REJECT_COST_EDGE_TOO_LOW,unknown,BLOCKING,"Cost edge filter rejects candidates below 0.0023",code_analysis
REJECT_NEGATIVE_EV,unknown,BLOCKING,"EV <= 0 rejected from normal buckets",code_analysis
REJECT_RDE_DECISION,unknown,BLOCKING,"RDE sampler gates (too many rejections)",code_analysis
REJECT_B_THRESHOLD,unknown,BLOCKING,"Candidate EV < 0.038 not eligible for B_RECOVERY_READY",code_analysis
REJECT_C_WEAK_THRESHOLD,unknown,BLOCKING,"Candidate EV < 0.030 not eligible for C_WEAK_EV_TRAIN",code_analysis
REJECT_NO_CANONICAL_EVIDENCE,unknown,BLOCKING,"Paper mode requires proven pattern in canonical trades",code_analysis
ACTIVE_PAPER_CANDIDATES,0,LEARNING,"No active paper entries opened recently (last trade 616h ago)",snapshot_context
LAST_CANONICAL_ENTRY,unknown,CRITICAL,"No new canonical evidence for 60+ minutes = starvation mode",snapshot_context
TOTAL_REJECTION_IMPACT,800+,CRITICAL,"Starvation of training data prevents learning recovery",synthesis
