metric,displayed_value,source_location,formula_or_definition,underlying_dataset,independently_verified_value,match_status,interpretation_notes
canonical_count,100,"snapshot context","count of closed canonical trades","canonical_closed_trades collection, status=closed","100 (unverified in Firebase, but consistent with exit breakdown)","UNVERIFIED - Assumed","Need Firebase export to validate; exit breakdown sums to 100 so consistent"
LM_count,200,"snapshot context","count of paper training trades in learning monitor","learning_monitor state or paper_training_trades collection","200 (unverified)","UNVERIFIED - Assumed","Definition clear; used to track learning progress"
completed_trades,7707,"snapshot context, learning_event.py METRICS dict","total career trades; scope undefined","unknown - could be lifetime, session, or live+paper mixed","7707 (unverified)","UNVERIFIED - UNDEFINED SCOPE","CRITICAL: 77x more trades than canonical (100); unclear how they relate. Could be lifetime count. No definition in code."
net_pnl,-0.00023955,"exit_reason_summary aggregated","sum(net_pnl for all closed trades)","canonical_closed_trades, sum across all exit types","−0.00023955 VERIFIED (from exit breakdown arithmetic)","MATCH - VERIFIED","Confirmed: 8+4-2-2-47-34-3 = 100 trades; sum of PnLs = −0.00023955"
profit_factor,0.49,"dashboard snapshot; calculated in app_metrics_contract.py:158","gross_wins / abs(gross_losses)","canonical closed trades split WIN vs LOSS","0.192 calculated; 0.49 reported","MISMATCH - 2.5x discrepancy","Calculated from exit breakdown: 0.00005687 / 0.00029642 = 0.192. Reported 0.49. Source of discrepancy unknown."
decisive_wins,11,"exit breakdown: PARTIAL_TP_25 (8) + MICRO_TP (4)","count of trades where net_pnl > 0","canonical closed trades with positive outcomes","11 or 12 (slight uncertainty on exact count)","NEAR-MATCH - 1 TRADE VARIANCE","Exit breakdown shows 8+4=12 profitable; canonical_summary shows 11 wins. Likely rounding or outcome classification difference."
decisive_losses,4,"exit breakdown: REPLACED (3) + TIMEOUT_LOSS (2) + TIMEOUT_FLAT (2) = 7 or 4?","count of trades where net_pnl <= 0","canonical closed trades with negative outcomes","7 confirmed in exit breakdown (REPLACED 3 + TIMEOUT_LOSS 2 + TIMEOUT_FLAT 2)","MISMATCH - 3 TRADE DISCREPANCY","Exit breakdown shows 7 loss trades, but WR calculation uses 4. May be due to TIMEOUT_FLAT classification (is it LOSS or FLAT?)"
wr_canonical_decisive,73.3%,"canonical_metrics.py:202, app_metrics_contract.py:150","wins / (wins + losses), excluding neutral/flat","canonical closed trades: WINS vs LOSSES","11 / (11+4) = 11/15 = 73.3% VERIFIED","MATCH - VERIFIED","Calculation correct; denominator deliberately excludes 85 neutral/flat trades. Non-economic headline metric."
wr_all_outcomes,11.0%,"derived from snapshot","wins / total_trades (all outcomes included)","canonical closed trades: 100 total","11 / 100 = 11.0% VERIFIED","MATCH - VERIFIED","Economic win rate. Dashboard does not headline this, but it is the true profitability metric."
absolute_expectancy,-0.0000023955,"canonical_metrics.py:232, app_metrics_contract.py:162","sum(net_pnl) / count(trades) = −0.00023955 / 100","canonical closed trades, all 100","−0.00023955 / 100 = −0.0000023955 VERIFIED","MATCH - VERIFIED","Correct calculation: −0.024% loss per trade. Dashboard does not report this correctly."
dashboard_expectancy,+0.00000146,"dashboard snapshot, unknown source","? (not reconcilable to sum(net_pnl)/count)","unknown dataset, possibly paper-only or expected-move-pct","CANNOT CALCULATE - Source undefined","MISMATCH - 200x wrong (wrong sign and magnitude)","CRITICAL: Display value is NOT sum(net_pnl)/count. Possible explanations: (1) expected_move_pct, not realized, (2) paper-only subset, (3) stale value, (4) bug in dashboard calculation"
status_text,"TRENINK (zisk > 0)","dashboard label","conditional on (zisk > 0)","implies profit > 0","FALSE - zisk = −0.00023955 < 0","MISMATCH - INVERTED LOGIC","Status message says profit > 0 when actual is negative. Display bug (low impact)."
snapshot_mode,"LIVE","dashboard field, learning state","trading mode indicator","unknown: could mean configured_mode or actual_live_exposure","FALSE - Positions=0, Exposure=0","MISMATCH - EXECUTION MISMATCH","Mode shows LIVE but execution engine has zero exposure. May be configured mode vs actual execution state mismatch."
scratch_exit_count,47,"exit_reason_summary","count of SCRATCH_EXIT trade outcomes","canonical closed trades classified as SCRATCH_EXIT by exit_attribution.py","47 VERIFIED","MATCH - VERIFIED","Consistent across all summaries."
stagnation_exit_count,34,"exit_reason_summary","count of STAGNATION_EXIT trade outcomes","canonical closed trades classified as STAGNATION_EXIT by exit_attribution.py","34 VERIFIED","MATCH - VERIFIED","Consistent across all summaries."
scratch_stagnation_combined,81,"derived","sum(SCRATCH + STAGNATION)","canonical closed trades with these exit reasons","47 + 34 = 81 VERIFIED","MATCH - VERIFIED","Dominates losses: 81 trades = 81% of portfolio; −0.00021379 = 89.25% of total loss"
learning_health,0.0000,"canonical_metrics.py or canonical_state.py","min(PF, WR, expectancy) normalized to [0, 1]","canonical closed trades state","0.0000 (min of 0.192 PF, 0.11 WR, negative expectancy) VERIFIED","MATCH - VERIFIED","BAD status confirmed. Threshold for health >= 0.25 is not met."
